id,title,description,category,cast_data
3644,デュラララ!!,東京・池袋。都会の非日常に憧れる少年・竜ヶ峰帝人(りゅうがみねみかど)は、幼馴染の紀田正臣(きだまさおみ)の誘いもあり、地元を離れて池袋にある来良学園に入学することに。正臣曰く、池袋に住む上で敵に回してはいけない存在が何人かいるらしい。特には、喧嘩上等のチンピラ・平和島静雄(へいわじましずお)と、趣味で情報屋を営む折原臨也(おりはらいざや)の二人。そして、奇妙な組織体系を取る詳細不明のカラーギャング“ダラーズ“。上京した初日、そんな正臣の話に不安をおぼえた帝人が目撃したのは、漆黒のバイクを駆る都市伝説“首なしライダー”だった……。,ホラー/サスペンス/推理,"[""[キャスト]"", ""竜ヶ峰帝人:豊永利行／紀田正臣:宮野真守／園原杏里:花澤香菜／折原臨也:神谷浩史／平和島静雄:小野大輔／岸谷新羅:福山潤／門田京平:中村悠一／遊馬崎ウォーカー:梶 裕貴／狩沢絵理華:高垣彩陽／矢霧誠二:堀江一眞／矢霧波江:小林沙苗／サイモン:黒田崇矢 ほか"", ""[スタッフ]"", ""原作:成田良悟 ｢デュラララ!!｣(電撃文庫；アスキー・メディアワークス刊)／原作イラスト:ヤスダスズヒト／監督:大森貴弘／シリーズ構成:高木 登／キャラクターデザイン:岸田隆宏／メカデザイン・アクション作監:山田起生／総作画監督:高田 晃／美術:伊藤 聖／色彩設計:宮脇裕美／監督補:川面真也／撮影:田村 仁／CGプロデューサー:神林憲和／編集:関 一彦／音楽:吉森 信／アニメーション制作:ブレインズ・ベース／製作:池袋ダラーズ"", ""[製作年]"", ""2010年"", ""©成田良悟／アスキー・メディアワークス／池袋ダラーズ・MBS""]"
3645,ハートキャッチプリキュア！,花咲つぼみは花や植物が大好きな中学2年生の女の子。ある日、つぼみは不思議な夢を見た。大きな木に咲く美しい花。だが、たちまち全ての花が落ちてしまう。そしてそこから妖精が飛び立っていく……。それから数日後。明堂学園へ転校したつぼみの前に、なんと夢で見た妖精が現れた！妖精はつぼみに、伝説の戦士プリキュアになって、“こころの大樹”を守って！みんなの“こころの花”を咲かせて！｣と頼む。自分にそんなことはムリと断るつぼみ。だが、突然謎の敵が襲ってきて、新しいクラスメート・来海えりかの“こころの花”を奪ってしまう。えりかの心を救うには、プリキュアになって戦うしかない！つぼみは勇気を出してプリキュアに変身する！,アクション/バトル,"[""[キャスト]"", ""花咲つぼみ(キュアブロッサム):水樹奈々／来海えりか(キュアマリン):水沢史絵／明堂院いつき(キュアサンシャイン):桑島法子／月影ゆり(キュアムーンライト):久川綾／シプレ:川田妙子／コフレ:くまいもとこ／ポプリ:菊池こころ"", ""[スタッフ]"", ""プロデューサー:吉田健一郎、佐々木礼子、梅澤淳稔／企画:西出将之、松下洋子、関弘美／シリーズディレクター:長峯達也／シリーズ構成:山田隆司／キャラクターデザイン:馬越嘉彦／美術デザイン:増田竜太郎／音楽:高梨康治／色彩設計:佐久間ヨシ子／製作担当:額賀康彦／OP楽曲:｢Alright！ハートキャッチプリキュア！｣作詞：六ツ見純代　作曲：高取ヒデアキ　編曲：籠島裕昌　うた：池田彩／ED楽曲:｢Tomorrow Song～あしたのうた～｣作詞：六ツ見純代　作曲：高取ヒデアキ　編曲：籠島裕昌　うた：工藤真由"", ""[製作年]"", ""2010年"", ""©ＡＢＣ・東映アニメーション""]"
3646,COBRA THE ANIMATION,左腕にサイコガンを持つ不死身の男。その名はコブラ。宇宙一の賞金首として、銀河パトロールだけでなく、海賊ギルドからも追われる孤高の宇宙海賊が姿を消してから数年。世間では死んだとも噂されていたが、コブラは顔を変え、生きていた。平穏な日常に別れを告げ、再び戦いへと身を投じるコブラ。美しき相棒アーマロイド・レディとともに、宇宙を駆けめぐる果てしない旅が始まる！,アクション/バトル,"[""[キャスト]"", ""コブラ:内田直哉／アーマロイド・レディ:榊原良子／シークレット:坂本真綾／ブラックボーン:山口眞弓／ゾロス:かぬか光明 ほか"", ""[スタッフ]"", ""原作:寺沢武一「COBRA」／監督:清水恵蔵／シリーズ演出:熨斗谷充孝／シリーズ構成:小出一巳／脚本:植田浩二/末永光代／キャラクターデザイン:清水恵蔵、山本径子、桝井一平／総作画監督:山本径子、小林ゆかり／美術監督:河野次郎／メカニックデザイン:三浦洋祐／色彩設計:森嶌一美、猪又菜美／撮影監督:中村圭介／編集:森田清次／音楽:池 頼広／音響監督:加藤 敏／選曲:合田麻衣子／音響効果:横山正和／アニメーション制作:マジックバス／製作:ギルドプロジェクト"", ""[製作年]"", ""2010年"", ""(C)2008 BUICHI TERASAWA/A-GIRL RIGHTS/GUILD PROJECT""]"
3648,涼宮ハルヒの消失,｢涼宮ハルヒ｣シリーズのクライマックスが、満を持してここに、登場！！,SF/ファンタジー,"[""[キャスト]"", ""涼宮ハルヒ:平野綾／キョン:杉田智和／長門有希:茅原実里／朝比奈みくる:後藤邑子／古泉一樹:小野大輔／朝倉涼子:桑谷夏子／鶴屋さん:松岡由貴／谷口:白石稔／国木田:松元惠／キョン妹:あおきさやか 他"", ""[スタッフ]"", ""企画:安田猛、嵐 智史、八田陽子、酒匂暢彦、井上俊次／原作・脚本協力:谷川流／原作イラスト・キャラクター原案:いとうのいぢ／脚本:志茂文彦／キャラクターデザイン・超総作画監督:池田晶子／総作画監督:西屋太志／美術監督:田村せいき／撮影監督:中上竜太／設定:高橋博行／色彩設計:石田奈央美／編集:重村建吾(スタジオごんぐ)／音響監督:鶴岡陽太(楽音舎)／音響効果:森川永子(ちゅらサウンド)／録音:矢野さとし／録音助手:砂庭舞(スタジオごんぐ)／音響制作担当:杉山好美(楽音舎)／録音スタジオ:Studio2010:／音響制作:楽音舎／音楽:神前暁(monaca)／音楽プロデューサー:斎藤滋(ランティス)／音楽制作:ランティス／制作プロデューサー:大橋永晴／アシスタントプロデューサー:山口真由美／アニメーション制作:京都アニメーション／配給・宣伝:角川書店／配給協力:クロックワークス／製作:SOS団／プロデューサー:伊藤敦、八田英明／監督:武本康弘／総監督:石原立也"", ""[製作年]"", ""2009年"", ""(c)2009 Nagaru Tanigawa・Noizi Ito/SOS団""]"
3654,バカとテストと召喚獣,進級テストの成績で厳しくクラス分けされる先進的な進学校｢文月学園｣。秀才が集まる設備も整ったAクラスに対して、最底辺のFクラスの設備はボロい卓袱台や腐った畳だけ。そんなFクラスの生徒である吉井明久は、訳あって同じクラスとなった健気な才女・姫路瑞希のため、学園が開発したシステムを使ったクラス争奪バトル｢試験召喚戦争｣に挑戦する。果たして、Fクラスは上位の強豪クラスに勝利することができるのだろうか--,恋愛/ラブコメ,"[""[キャスト]"", ""吉井明久:下野紘／姫路瑞希:原田ひとみ／島田美波:水橋かおり／木下秀吉:加藤英美里／坂本雄二:鈴木達央／土屋康太:宮田幸季／霧島翔子:磯村知美／清水美春:竹達彩奈／久保利光:寺島拓篤／木下優子:加藤英美里／島田葉月:平田真菜／西村宗一:大塚明夫／工藤愛子:南條愛乃"", ""[スタッフ]"", ""原作:井上堅二(｢バカとテストと召喚獣｣シリーズ ファミ通文庫／エンターブレイン刊)／キャラクター原案:葉賀ユイ／監督:大沼心／シリーズ構成:高山カツヒコ／キャラクターデザイン・総作画監督:大島美和／色彩設計:木幡美雪／美術監督:東 厚治／美術:ST.ちゅーりっぷ／撮影監督:中西康祐／撮影:旭プロダクション／編集:タクマ編集／音響監督:亀山俊樹／音響制作:オムニバスプロモーション／音楽制作:Lantis／アニメーション制作:SILVER LINK／製作:バカとテストと召喚獣製作委員会"", ""[製作年]"", ""2010年"", ""(C)2010 Kenji Inoue／PUBLISHED BY KADOKAWA CORPORATION ENTERBRAIN／バカとテストと召喚獣製作委員会""]"
3655,ひだまりスケッチ×☆☆☆,人気アニメの第3シリーズ。憧れの私立やまぶき高校美術科に入学したゆの。学校のまん前にある小さなアパート『ひだまり荘』で一人暮らしを始めたゆのは、そこで同級生の宮子、先輩の沙英とヒロの三人に出会う。慣れない生活に戸惑いつつも、優しく温かい仲間に囲まれながら、ゆのは今ゆっくりと夢に向かって歩き出す…。,日常/ほのぼの,"[""[キャスト]"", ""ゆの:阿澄佳奈／宮子:水橋かおり／ヒロ:後藤邑子／沙英:新谷良子／吉野屋:松来未祐／乃莉:原田ひとみ／なずな:小見川千明／智花:釘宮理恵／夏目:福圓美里／大家:沢城みゆき／校長:チョー／うめ先生:蒼樹うめ"", ""[スタッフ]"", ""原作:蒼樹うめ｢ひだまりスケッチ｣／掲載:月刊｢まんがタイムきららキャラット｣／発行:芳文社／監督:新房昭之／シリーズ構成:長谷川菜穂子／キャラクターデザイン・総作画監督:伊藤良明／美術監督:飯島寿治／音響監督:亀山俊樹／音楽:菊谷知樹／音楽制作:ランティス／編集:関 一彦／アニメーション制作:シャフト"", ""[製作年]"", ""2010年"", ""©蒼樹うめ・芳文社／ひだまり荘管理組合""]"
3658,ぼく、オタリーマン。,「ぼく、オタリーマン。」とは・・・ 累計1500万超の大人気ウェブサイトでの連載が本になったもので、主人公は職業SE、独身、彼女なし、そしてちょっぴりオタク・・・ オタクなサラリーマン＝「オタリーマン」の爆笑！な生き様を描いたコミックエッセーです。,ショート,"[""[キャスト]"", ""キャスト:宮野真守、釘宮理恵、柳田淳一、小田久史、藤田大助"", ""[製作年]"", ""2010年"", ""©2010 Yoshitani/「ぼく、オタリーマン。」製作委員会""]"
3660,怪盗レーニャ,怪盗レーニャは、普段はコンビニ｢ファミニャ｣の店員として働き、助手のチュー太郎と、店の地下のアジトでお宝奪取計画を練っている。ファミニャの隣にあるのが大江戸署。 エロ警部、妄想刑事、天然婦警の3バカトリオがレーニャ逮捕に執念を燃やすも、なにせバカなので振り回されっぱなし。 そんな彼らが織りなすナンセンスコメディーが｢怪盗レーニャ｣なのだ。,ショート,"[""[キャスト]"", ""レーニャ:(田中れいな・モーニング娘。)／チュー太郎・刑事:(岡野浩介)／警部:(陽季想)／婦警のっち:(能登有沙・音楽ガッタス)／宅配便のお兄さん:(若林直美)／扇風機:(三澤紗千香)"", ""[スタッフ]"", ""企画・原案:アップフロントスタイル／総監督・絵コンテ:サムシング吉松／監督・演出:岩見英明／脚本:金巻兼一／音響監督:水島精二／原画:Mr.A／制作:スティングレイ"", ""[製作年]"", ""2010年"", ""(C)怪盗レーニャ製作委員会""]"
3663,いっしょにすりーぴんぐ,「いっしょにとれーにんぐ」に続く「いっしょに」シリーズ第2弾。アニメの世界に住んでいるひなこと画面を通じて出会ってしまったあなた。いつのまにか、ひなこはスヤスヤと眠ってしまいます。「あ、先に寝ちゃった。もう、こんな無防備なかっこうで…」,ショート,"[""[スタッフ]"", ""企画・脚本・プロデュース:中川宗成／監督:木村真一郎／キャラクターデザイン・作画監督:アミサキリョウコ／美術監督:土師勝弘／色彩設計:津野 渉／撮影監督:芹澤直樹／編集:森田清次,大野雄一／エンディング・メニュー音楽:来兎(リサレコ)／アニメーション制作:スタジオ雲雀／アートワーク:ナカムラトシヤ(antenna g.d.s.)／製作:プリマステア"", ""[製作年]"", ""2010年"", ""© 2010 PRIMASTEA""]"
3664,ソ・ラ・ノ・ヲ・ト,打ち捨てられた廃墟で、迷子になった少女は、ひとりの女性兵士に出会いました。兵士の手には金色に輝くトランペット。「軍人さんになれば、トランペットが吹けるんだ！」ちょっとした勘違いをしたまま、少女は喇叭手に憧れ、軍への入隊を決意します。カナタ、15歳――。カナタが配属されたのは、セーズという街にある小さな駐留部隊・第1121小隊。物語はそんな新米兵士カナタが、セーズの街にやってくるところから始まります。その日のセーズは「水かけ祭り」の真っ最中。駐屯地を目指すカナタは、お祭り騒ぎに巻き込まれてしまって――。,SF/ファンタジー,"[""[キャスト]"", ""カナタ:金元寿子／リオ:小林ゆう／クレハ:喜多村英梨／ノエル:悠木 碧／フィリシア:遠藤 綾／ユミナ:福圓美里／クラウス:石塚運昇／ナオミ:八十川真由野　ほか"", ""[スタッフ]"", ""原作:Paradores／監督:神戸守／脚本:吉野弘幸／キャラクター原案:岸田メル／キャラクターデザイン:赤井俊文／セットデザイン:青木智由紀／プロップデザイン:北田勝彦／メカニックデザイン:石垣純哉／色彩設計:中島和子／美術監督:甲斐政俊／撮影監督:尾崎隆晴／編集:瀬山武司／音響監督:清水勝則／音楽:大島ミチル／協力:月刊コミック電撃大王／制作:A-1 Pictures／製作:第1121小隊"", ""[製作年]"", ""2010年"", ""©Paradores・Aniplex／第1121小隊""]"
