work_id,work_title,child_id,child_title
200,魔術士オーフェンはぐれ旅,339,魔術士オーフェンはぐれ旅,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/16/8/23168_1_8_8b.png?1577176207000
201,群れなせ！シートン学園,513,群れなせ！シートン学園,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/17/5/23175_1_8_8b.png?1575871469000
204,地縛少年花子くん,2924,地縛少年花子くん,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/15/9/23159_1_8_8b.png?1576641857000
205,22/7,4576,22/7,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/16/2/23162_1_8_8b.png?1576630839000
206,はてな☆イリュージョン,2684,はてな☆イリュージョン,""
207,ネコぱら,3621,ネコぱら,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/16/4/23164_1_8_8b.png?1576641911000
208,宝石商リチャード氏の謎鑑定,4243,宝石商リチャード氏の謎鑑定,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/16/3/23163_1_8_8b.png?1577068237000
209,プランダラ,105,プランダラ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/12/7/23127_1_8_8b.png?1575598238000
210,とある科学の超電磁砲T,51,とある科学の超電磁砲T,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/15/0/23150_1_8_8b.png?1575955853000
212,ダーウィンズゲーム,2176,ダーウィンズゲーム,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/16/0/23160_1_8_8b.png?1576474208000
215,痛いのは嫌なので防御力に極振りしたいと思います。,30,痛いのは嫌なので防御力に極振りしたいと思います。,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/12/6/23126_1_8_8b.png?1575598181000
218,ソマリと森の神様,387,ソマリと森の神様,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/18/9/23189_1_8_8b.png?1576474313000
220,織田シナモン信長,2989,織田シナモン信長,""
224,BanG Dream! 3rd Season,4529,BanG Dream! 3rd Season,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/17/7/23177_1_8_8b.png?1577151042000
227,マギアレコード 魔法少女まどか☆マギカ外伝,272,マギアレコード 魔法少女まどか☆マギカ外伝,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/13/9/23139_1_8_8b.png?1575871913000
229,理系が恋に落ちたので証明してみた。,3683,理系が恋に落ちたので証明してみた。,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/53/3/24533_1_8_8b.png?1613444406000
232,ぼくのとなりに暗黒破壊神がいます。,2988,ぼくのとなりに暗黒破壊神がいます。,""
234,異種族レビュアーズ,281,異種族レビュアーズ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/12/8/23128_1_8_8b.png?1575598119000
235,ランウェイで笑って,4490,ランウェイで笑って,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/16/6/23166_1_8_8b.png?1575871729000
238,虚構推理,134,虚構推理,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/12/9/23129_1_8_8b.png?1575598053000
239,number24,4142,number24,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/56/2/23562_1_8_8b.png?1585207806000
240,うちタマ?! ～うちのタマ知りませんか？～,706,うちタマ?! ～うちのタマ知りませんか？～,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/16/1/23161_1_8_8b.png?1576812607000
269,ARP Backstage Pass,4719,ARP Backstage Pass,""
285,継つぐもも,552,継つぐもも,""
286,八男って、それはないでしょう！,80,八男って、それはないでしょう！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/71/4/23714_1_8_8b.png?1583305207000
287,白猫プロジェクト ZERO CHRONICLE,546,白猫プロジェクト ZERO CHRONICLE,""
288,波よ聞いてくれ,4514,波よ聞いてくれ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/76/6/23766_1_8_8b.png?1584929135000
289,フルーツバスケット 2nd Season,205,フルーツバスケット 2nd season ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/86/3/23863_1_8_8b.png?1584327640000
291,ミュークルドリーミー,719,ミュークルドリーミー,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/74/9/23749_1_8_8b.png?1602138634000
296,かくしごと,2890,かくしごと,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/65/5/23655_1_8_8b.png?1583128877000
299,ガル学。～聖ガールズスクエア学院～,4745,ガル学。～聖ガールズスクエア学院～,""
302,啄木鳥探偵處,4269,啄木鳥探偵處,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/66/2/23662_1_8_8b.png?1583389808000
303,球詠,4047,球詠,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/88/7/23887_1_8_8b.png?1585121407000
305,神之塔 -Tower of God-,410,神之塔 -Tower of God-,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/75/7/23757_1_8_8b.png?1584005438000
306,プリンセスコネクト！Re:Dive,188,プリンセスコネクト！Re:Dive,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/75/4/23754_1_8_8b.png?1583825408000
307,のりものまん モービルランドのカークン,1396,のりものまん モービルランドのカークン,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/76/7/23767_1_8_8b.png?1585126834000
308,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,62,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/65/3/23653_1_8_8b.png?1583305263000
311,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,2871,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/75/0/23750_1_8_8b.png?1583985633000
312,アルゴナビス from BanG Dream!,4619,アルゴナビス from BanG Dream!,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/87/7/23877_1_8_8b.png?1584610207000
313,社長、バトルの時間です！,324,社長、バトルの時間です！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/76/3/23763_1_8_8b.png?1584068505000
315,別冊オリンピア・キュクロス,965,別冊オリンピア・キュクロス,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/87/9/23879_1_8_8b.png?1586743314000
317,シャドウバース,700,シャドウバース,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/89/0/23890_1_8_8b.png?1602469809000
323,新サクラ大戦 the Animation,623,新サクラ大戦 the Animation,""
325,イエスタデイをうたって,3566,イエスタデイをうたって,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/75/5/23755_1_8_8b.png?1584605067000
328,グレイプニル,2216,グレイプニル,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/75/3/23753_1_8_8b.png?1584327607000
335,ざしきわらしのタタミちゃん,3161,ざしきわらしのタタミちゃん ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/76/8/23768_1_8_8b.png?1585015375000
