title,image_url,
涼宮ハルヒの消失,https://abm.hayabusa.media/series/25-41-jimnaz-mz/thumb.png%3Fversion%3D1569300933?width=242&height=136&quality=60&format=jpg&version=1569300933&fit=fill&background=000000
劇場版総集編 オーバーロード 不死者の王【前編】,https://abm.hayabusa.media/series/25-144/thumb.png%3Fversion%3D1589190358?width=242&height=136&quality=60&format=jpg&version=1589190358&fit=fill&background=000000
はたらく細胞BLACK,https://abm.hayabusa.media/series/26-126/thumb.png%3Fversion%3D1608545622?width=242&height=136&quality=60&format=jpg&version=1608545622&fit=fill&background=000000
ＡＫＩＲＡ,https://abm.hayabusa.media/series/13-116/thumb.png%3Fversion%3D1583740425?width=242&height=136&quality=60&format=jpg&version=1583740425&fit=fill&background=000000
劇場版 魔法科高校の劣等生 星を呼ぶ少女,https://abm.hayabusa.media/series/25-101/thumb.png%3Fversion%3D1565246568?width=242&height=136&quality=60&format=jpg&version=1565246568&fit=fill&background=000000
魔女の旅々,https://abm.hayabusa.media/series/174-18/thumb.png%3Fversion%3D1601606776?width=242&height=136&quality=60&format=jpg&version=1601606776&fit=fill&background=000000
劇場版総集編 オーバーロード 漆黒の英雄【後編】,https://abm.hayabusa.media/series/25-145/thumb.png%3Fversion%3D1589190387?width=242&height=136&quality=60&format=jpg&version=1589190387&fit=fill&background=000000
劇場版銀魂 完結篇 万事屋よ永遠なれ,https://abm.hayabusa.media/series/13-82/thumb.png%3Fversion%3D1561023769?width=242&height=136&quality=60&format=jpg&version=1561023769&fit=fill&background=000000
魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～,https://abm.hayabusa.media/series/25-147/thumb.png%3Fversion%3D1593744443?width=242&height=136&quality=60&format=jpg&version=1593744443&fit=fill&background=000000
異世界チート魔術師,https://abm.hayabusa.media/series/25-119/thumb.png%3Fversion%3D1562043806?width=242&height=136&quality=60&format=jpg&version=1562043806&fit=fill&background=000000
かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,https://abm.hayabusa.media/series/26-96/thumb.png%3Fversion%3D1585741423?width=242&height=136&quality=60&format=jpg&version=1585741423&fit=fill&background=000000
くまクマ熊ベアー,https://abm.hayabusa.media/series/25-151/thumb.png%3Fversion%3D1601521228?width=242&height=136&quality=60&format=jpg&version=1601521228&fit=fill&background=000000
STAND BY ME ドラえもん,https://abm.hayabusa.media/series/12-22/thumb.png%3Fversion%3D1605233589?width=242&height=136&quality=60&format=jpg&version=1605233589&fit=fill&background=000000
異世界魔王と召喚少女の奴隷魔術,https://abm.hayabusa.media/series/168-5/thumb.png%3Fversion%3D1561634289?width=242&height=136&quality=60&format=jpg&version=1561634289&fit=fill&background=000000
劇場版総集編 前編 『ハイキュー!! 終わりと始まり』,https://abm.hayabusa.media/series/19-1/thumb.png%3Fversion%3D1568168547?width=242&height=136&quality=60&format=jpg&version=1568168547&fit=fill&background=000000
