id,title
242,イエスタデイをうたって (配信限定episode)
244, 四月一日さん家と
245,ベイブレードバースト スパーキング
246,デュエル・マスターズ キング
247,魔術士オーフェンはぐれ旅 第14話「天人の遺産」
248,ドロヘドロ OVA「魔のおまけ」
250,GETUP! GETLIVE! #げらげら
251,アラド: 逆転の輪
254,おちゃめなシモン (第2シリーズ)
259,ノー・ガンズ・ライフ 第2期
263,22/7 #13(未放送エピソード)「8+3=?」
264,ソードアート・オンライン アリシゼーション War of Underworld ‐THE LAST SEASON‐
266,進撃の巨人 ～クロニクル～
267,劇場版 ヴァイオレット・エヴァーガーデン
268,安達としまむら ミニアニメ
270,劇場版 Fate/stay night [Heaven's Feel] III.spring song
271,ARP Backstage Pass SPエピソード「Paradise」
272,転生したらスライムだった件 OAD 外伝：リムルの華麗な教師生活 その2
273,NOBLESSE -ノブレス- 第0話：OVA『NOBLESSE：Awakening』
274,恋とプロデューサー ～EVOL×LOVE～
275,耐え子の日常 第2期
277,Re:ゼロから始める休憩時間 2nd Season
278,ノクターンブギ
279,僕のヒーローアカデミア オリジナルエピソード「生き残れ！決死のサバイバル訓練」
280,白爪草
281,超普通都市カシワ伝説R
282,巨神と氷華の城
283,イドゥン・クロニクルズ
284,Re:ゼロから始める異世界生活 2ndシーズン
285,GREAT PRETENDER
287,ふしぎ駄菓子屋 銭天堂
289,アグレッシブ烈子 シーズン3 (2018)
293,思い、思われ、ふり、ふられ
295,GIBIATE the Animation
296,ドラゴンズドグマ
298,バトルスピリッツ 赫盟のガレット
299,戦乙女の食卓
301,デート・ア・バレット　デッド・オア・バレット
302,八月のシンデレラナイン Re:fine
305,俺を好きなのはお前だけかよ ～俺たちのゲームセット～
306,XPICE
307,荒野のコトブキ飛行隊 完全版
308,特別上映版 はたらく細胞!! 最強の敵、再び。体の中は“腸”大騒ぎ！
309,人体のサバイバル！
311,バジャのスタジオ ～バジャのみた海～
312,トランスフォーマー: ウォー・フォー・サイバトロン・トリロジー
313,映画 ふしぎ駄菓子屋 銭天堂 つりたい焼き
314,GETUP! GETLIVE! #げらげら 第0話
315,映画 おしりたんてい テントウムシいせきの なぞ
316,デカダンス 第5.5話「install」
